id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z230cfnaxlarw35egacdp43af1sbucazs4lil13vbb5w03c010c,Frank Shi,5 days ago,1505259099118,四位数乘法，让陈冉冉来2秒钟啊,0,false,0,,,,,,
z22lin3a3neiwthlcacdp43asre5yd3jdmk33dp5bqpw03c010c,黃潔珍,1 week ago,1505086299122,周瑋只是表達能力同說話能力弱，佢自尊心強，知道別看低他，他任何事都知，點會是智障，只是不善於與人接近，希望各位不要智障人叫他，尊重他。,0,false,0,,,,,,
z22iyv1rhrapxzn4204t1aokgdxg0cx5s1hdwshvbc02rk0h00410,tak tsang,2 weeks ago,1504481499125,最尾的那個辨別圖 我個人覺得短了一點,0,false,0,,,,,,
z23mv52jctrkyl30lacdp434rnidxq0gwc0r1fpu2oxw03c010c,蔡阿凱,1 month ago,1503012699127,1:20:12   DR.魏是?,0,false,0,,,,,,
z13idhjpnvfbijgzu04cdnlhnqz5erk4hwk0k,Kyle Zhao,3 months ago,1497742299131,严加训练一下就是特工了，细思后恐！,1,false,0,,,,,,
z13bht1pnyrec3f5r04cc5hhnz30y5t4rng0k,Jose Sanchez,4 months ago,1495063899133,53:56 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,false,0,,,,,,
z12vx3rzosr5vbaw304cdplzaumxfzbigm00k,wei liu,4 months ago,1495063899136,最烦人的就是光头孟非，没学识只会讲道德用语，非常反感,0,false,0,,,,,,
z12wchmxvwjxjjlx204cjn0jcxibhvfgyo00k,never give up ZL,4 months ago,1495063899139,第三题难度也差太远了吧,0,false,0,,,,,,
z132fvdwokqccbh5g04cf5iptwvvxrvbgkw0k,Wai Ho Chow,6 months ago,1489793499142,周玮 good,0,false,0,,,,,,
z12sizm5jqfthdz5b04cgr3wfmzfylco1ls0k,Ziren Wang,6 months ago,1489793499145,1到99位数开1到99次方!,0,false,0,,,,,,
z13tedih2uymglvtt22hz5h5yprwsrmo304,郑恩娜,6 months ago,1489793499167,德国的裁判太恶了，智障,1,false,0,,,,,,
z12njfnxgnuddniz404cidjawo3zwfa4v4s,Tak wa Chan,6 months ago,1489793499170,我,0,false,0,,,,,,
z130fhvxnnbjtf4tg23nzbqoiyyixfayd04,Yong Zhao,6 months ago,1489793499174,难道大家都喜欢这种带剧透的标题么，虽然好久之前看了 XD,0,false,0,,,,,,
