id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z22dcvgwdnvudhu2yacdp43aeejaljenkv2kh1bc4ghw03c010c,Mimi Leung Stencel,1 day ago,1506455883687,"I like to watch Chinese drama, this one is good.",0,false,0,,,,,,
z22ax1nqevfzh3zws04t1aokgvquerv3dbu3rftw21lurk0h00410,Yiwen Ye,3 weeks ago,1504727883690,杨淑妃真好看,2,false,0,,,,,,
z231yncxgoz5c3fccacdp430xkhipuczafqyilyefhdw03c010c,Sea peng Eng,1 month ago,1503863883694,0：09他们在干什么啊？谁能告诉我？？,1,false,0,,,,,,
z22cfpfjele4t35lgacdp4321ochj2tfac3fkmc1ie1w03c010c,Long Li,1 month ago,1503863883697,谎言中共只会拍谎言电影，愚弄百姓,1,false,0,,,,,,
z220sz442vf1d1xmqacdp432w0dsc4pcyninrbph3vdw03c010c,fohsoon tsai,1 month ago,1503863883699,"大黑牛你不是十五岁的
鹿晗弟弟吗",1,false,0,,,,,,
z220sz442vf1d1xmqacdp435pbjmzczgxkf3p4vz4fxw03c010c,fohsoon tsai,1 month ago,1503863883702,大黑牛好你吗,2,false,0,,,,,,
z13jifgr0mrsdzqb004cg5aoqn3fit3r1cg,Tang Taizong,1 month ago,1503863883705,我真的很喜欢这个电视剧。 我见过的最好的一个。,1,false,0,,,,,,
z124hzq4bym3xv5rz04cifophnayitmoyyw0k,戴可恩,2 months ago,1501185483708,葉宇凱,1,false,0,,,,,,
z12ghfzyesbtxvpg304cfpl4loi1v5ja1es,Loo Nicholas,2 months ago,1501185483711,请不要拿下，我很喜欢看 看多少遍都觉得很好看，谢谢,6,true,1,,,,,,
,,,,,,,,z12ghfzyesbtxvpg304cfpl4loi1v5ja1es.1503840889037270,Sea peng Eng,1 month ago,1503863884223,我也很喜欢看,1
z12hchlhrsqowtn2r231jbwiiyercf3sc,Sweet Genius,2 months ago,1501185483715,What was the point of fucking Chinese subtitles?,2,true,5,,,,,,
,,,,,,,,z12hchlhrsqowtn2r231jbwiiyercf3sc.1500596644216851,嘿嘿,2 months ago,1501185484268,"Sweet Genius firt of all if you dont like chinese then idk what the hell are you here, and second, every single chinese tv drama, film, tv program has chinese sub, even if is live...",0
,,,,,,,,z12hchlhrsqowtn2r231jbwiiyercf3sc.1501515088124792,Theo Gaspersz,1 month ago,1503863884272,"China has an incredibly high literacy rate, but people in rural areas, particularly older folks, may not speak or understand standard Mandarin fluently.

Since, with a few small exceptions, Mandarin and all the dialects share an identical writing system, differing only in pronunciation and a few grammar and slang usage points, subtitles are provided on national stations so that people who may not understand Mandarin well can still watch the programs.

In addition, it helps me a lot as a beginner to learn Chinese.",0
,,,,,,,,z12hchlhrsqowtn2r231jbwiiyercf3sc.1502380910602660,Martin,1 month ago,1503863884274,you fucking idiot，if you don't like it，get out,1
,,,,,,,,z12hchlhrsqowtn2r231jbwiiyercf3sc.1503593768465269,Naomi,1 month ago,1503863884276,I think what he meant is he can't read the chinese subtitles and expected english subtitles..,0
,,,,,,,,z12hchlhrsqowtn2r231jbwiiyercf3sc.1504185798218252,Rem,3 weeks ago,1504727884278,"Bruh it helps a lot for those learning Chinese as their second. Without the subtitles I would only understand half of it. It's pretty fast, but the words are relatively simple.",1
z13tej5pcme0sfp1v22vtvmg5njoh3d4304,侯亞萱,2 months ago,1501185483720,有沒有人發現韋貴妃前的太監是不是甄嬛傳裡的康祿海,5,true,2,,,,,,
,,,,,,,,z13tej5pcme0sfp1v22vtvmg5njoh3d4304.1499704050899491,外星人,2 months ago,1501185484167,侯亞萱 他為啥都當後宮之首的太監呀？,0
